datetime,road_id,road_km,avuch_start,avuch_end,length,avuch_loc,stabchar_type,planactiv_type,planactiv_descr,planactiv_year
2017-01-01,9,124,124.77,125.74,970,2,3,4,Дублирование дорожных знаков 3.20 «Обгон запрещен» на щитах с флуорисцентной пленкой желто-зеленого цвета. Щит аварийно-опасный участок.,2018-07-01
2017-01-01,9,125,124.77,125.74,970,2,3,4,Дублирование дорожных знаков 3.20 «Обгон запрещен» на щитах с флуорисцентной пленкой желто-зеленого цвета. Щит аварийно-опасный участок.,2018-07-01
2017-01-01,9,131,131.88,132.77,890,2,3,4,"Щит аварийно-опасный участок. В 2018 году будет проводиться мониторинг  состояния аварийности, разработка и реализация дополнительных мероприятий по БДД, будет выполнена по мере необходимости;",2018-03-01
2017-01-01,9,132,131.88,132.77,890,2,3,4,"Щит аварийно-опасный участок. В 2018 году будет проводиться мониторинг  состояния аварийности, разработка и реализация дополнительных мероприятий по БДД, будет выполнена по мере необходимости;",2018-03-01
2017-01-01,9,145,145.1,145.8,700,2,1,4,"Установлен щит «Аварийно-опасный участок». Изменение режима работы светофорного объекта, проработать вопрос устройства искусственного освещения на перекрестке.",2018-09-01
2017-01-01,9,146,145.1,147.3,410,2,3,4,Щит аварийно-опасный участок.,2018-03-01
2017-01-01,9,147,147.3,147.3,410,2,3,4,Щит аварийно-опасный участок.,2018-03-01
2017-01-01,9,160,160.15,160.25,100,2,3,4,Проработать вопрос установки тросового ограждения по оси проезжей части. Щит аварийно-опасный участок.,2018-09-01
2017-01-01,9,187,187.55,187.97,420,2,3,4,Щит аварийно-опасный участок. Устройство искусственного освещения при наличии финансирования. Проработать вопрос кап. ремонта моста.,2018-12-31
2017-01-01,9,200,200.94,201.8,860,2,3,4,Щит аварийно-опасный участок. Устройство тросового ограждения по оси проезжей части.,2018-09-01
2017-01-01,9,201,200.94,201.8,860,2,3,4,Щит аварийно-опасный участок. Устройство тросового ограждения по оси проезжей части.,2018-09-01
2017-01-01,9,212,212.7,213.15,450,2,3,2,"Щит аварийно-опасный участок. Капитальный ремонт автомобильной дороги М-8"" Холмогоры"" Москва -Ярославль - Вологда - Архангельск научастке км 201+800 - км 214+000, устройство искусственного освещения в рамках капитального  ремонта.",2019-12-31
2017-01-01,9,213,212.7,213.15,450,2,3,2,"Щит аварийно-опасный участок. Капитальный ремонт автомобильной дороги М-8"" Холмогоры"" Москва -Ярославль - Вологда - Архангельск научастке км 201+800 - км 214+000, устройство искусственного освещения в рамках капитального  ремонта.",2019-12-31
2017-01-01,9,244,244.1,244.5,400,2,3,4,Щит аварийно-опасный участок.,2018-12-31
2017-01-01,9,253,253.05,253.5,450,2,1,4,"Выполнено устройство искусственного освещения в 2017 году, устройство тросового ограждения выполнено на участке км 253+300 – км 254+270, на участке км 253+180 –  км 253+280 не выполнено по причине наличия газопровода.  Щит аварийно-опасный участок установлен.",2017-12-01
2017-01-01,9,255,255.956,256.055,100,2,1,4,Щит аварийно-опасный участок установлен. В 2017 году выполнено устройство шумовых полос перед опасными участками.,2018-12-31
2017-01-01,9,256,255.956,256.055,100,2,1,4,Щит аварийно-опасный участок установлен. В 2017 году выполнено устройство шумовых полос перед опасными участками.,2018-12-31
2017-01-01,9,273,273.0,273.0,1,2,1,4,Щит аварийно-опасный участок установлен. Установка осевых дорожных ограждений в районе ж/д переезда (д. Кузнечиха) и производственного предприятия «Олимпик».,2018-09-01
2017-01-01,9,281,281.39,281.45,60,2,3,4,Щит аварийно-опасный участок. ,2018-12-31
2017-01-01,9,451,451.1,452.0,900,2,3,4,"В 2017 году увеличены зоны запрещения стоянки ТС в зоне АЗС, установлена камера автоматической фиксации нарушения ПДД. Введение местного ограничения скоростного режима до 60 км/ч. Установка щита «Аварийно-опасный участок».",2018-07-01
